time,x,y,z
0.010,0.15,0.00,-0.06
0.012,0.10,-0.02,-0.00
0.022,0.12,-0.03,-0.04
0.037,0.12,-0.03,-0.03
0.042,0.10,-0.03,-0.04
0.055,0.16,-0.04,-0.04
0.061,0.13,-0.04,0.01
0.071,0.15,0.01,0.01
0.100,0.18,-0.03,-0.04
0.101,0.15,-0.04,0.04
0.103,0.13,-0.04,-0.04
0.118,0.12,0.00,-0.01
0.120,0.12,0.01,0.02
0.131,0.13,-0.04,0.05
0.141,0.09,-0.06,-0.03
0.154,0.13,0.00,-0.03
0.160,0.15,-0.02,-0.04
0.170,0.13,-0.02,-0.00
0.182,0.15,0.03,-0.04
0.201,0.15,-0.02,-0.04
0.202,0.12,-0.03,0.01
0.230,0.13,-0.05,-0.04
0.232,0.14,0.00,0.01
0.233,0.15,-0.05,-0.00
0.242,0.15,-0.04,0.05
0.250,0.15,0.00,-0.03
0.260,0.13,-0.03,-0.03
0.270,0.17,-0.05,-0.06
0.279,0.12,-0.02,-0.00
0.314,0.13,-0.03,-0.00
0.317,0.14,-0.04,-0.05
0.318,0.14,-0.03,-0.00
0.320,0.11,-0.03,-0.02
0.333,0.18,-0.01,0.02
0.339,0.16,-0.07,-0.02
0.349,0.15,-0.03,-0.02
0.359,0.11,-0.02,-0.00
0.369,0.13,-0.02,-0.00
0.378,0.12,-0.04,-0.05
0.389,0.16,-0.03,-0.03
0.397,0.15,-0.02,0.01
0.412,0.11,-0.02,-0.00
0.418,0.14,-0.02,-0.05
0.429,0.13,-0.04,-0.02
0.442,0.14,-0.04,-0.04
0.447,0.12,0.00,-0.08
0.458,0.11,-0.03,0.02
0.469,0.16,0.00,-0.01
0.476,0.16,-0.01,-0.06
0.486,0.13,-0.03,-0.00
0.495,0.12,-0.01,-0.10
0.525,0.15,-0.01,-0.03
0.527,0.12,-0.03,-0.01
0.528,0.15,0.00,-0.01
0.557,0.13,0.00,-0.05
0.559,0.15,-0.02,-0.07
0.560,0.15,0.02,0.06
0.578,0.12,-0.03,-0.02
0.582,0.11,-0.05,0.03
0.585,0.16,-0.01,-0.09
0.595,0.15,-0.01,0.01
0.611,0.16,-0.05,0.01
0.614,0.14,-0.02,-0.01
0.625,0.11,-0.03,-0.04
0.643,0.15,-0.02,0.02
0.644,0.17,-0.06,0.01
0.654,0.14,-0.01,0.01
0.666,0.14,-0.01,-0.01
0.675,0.11,0.01,-0.00
0.702,0.16,-0.03,-0.01
0.708,0.15,-0.01,0.02
0.715,0.11,-0.02,-0.01
0.716,0.13,-0.01,0.02
0.725,0.14,-0.02,-0.01
0.736,0.15,0.00,-0.02
0.744,0.15,-0.02,-0.00
0.753,0.13,0.00,-0.02
0.763,0.14,-0.01,-0.01
0.773,0.13,-0.02,-0.01
0.783,0.16,-0.01,-0.04
0.792,0.16,-0.04,-0.04
0.826,0.13,-0.02,0.01
0.828,0.08,-0.01,-0.01
0.829,0.15,-0.02,-0.00
0.831,0.12,-0.01,0.04
0.857,0.14,0.00,-0.05
0.859,0.16,-0.08,0.01
0.861,0.11,-0.04,0.05
0.873,0.14,-0.06,-0.02
0.881,0.13,-0.01,0.02
0.891,0.11,0.01,-0.04
0.922,0.10,-0.01,0.01
0.924,0.13,-0.03,-0.03
0.925,0.13,-0.01,-0.10
0.934,0.19,0.02,-0.06
0.945,0.10,-0.03,-0.01
0.952,0.18,-0.03,0.00
0.961,0.14,-0.03,-0.05
0.971,0.12,-0.01,-0.01
0.980,0.13,-0.01,-0.01
0.990,0.13,-0.00,-0.01
1.001,0.14,-0.05,-0.06
1.021,0.16,-0.06,0.01
1.024,0.09,-0.02,-0.02
1.030,0.14,-0.05,-0.01
1.073,0.15,-0.01,-0.03
1.077,0.17,0.02,-0.01
1.080,0.10,-0.04,-0.07
1.083,0.15,-0.02,-0.03
1.086,0.13,-0.03,0.05
1.088,0.12,-0.05,0.02
1.100,0.12,-0.03,-0.06
1.118,0.11,-0.04,-0.04
1.133,0.14,-0.03,-0.01
1.134,0.13,-0.01,-0.03
1.140,0.14,-0.02,0.03
1.149,0.10,-0.05,0.01
1.158,0.11,-0.00,-0.01
1.170,0.10,-0.03,-0.04
1.178,0.13,-0.04,-0.03
1.188,0.14,-0.05,-0.04
1.198,0.17,-0.02,0.00
1.215,0.17,-0.02,-0.07
1.220,0.12,-0.02,0.00
1.228,0.14,-0.01,-0.08
1.237,0.12,-0.02,-0.03
1.246,0.11,-0.03,-0.01
1.257,0.15,-0.04,0.00
1.266,0.12,-0.02,-0.04
1.276,0.17,-0.03,-0.01
1.297,0.14,-0.03,-0.02
1.302,0.14,-0.02,-0.01
1.306,0.15,-0.02,0.01
1.317,0.12,0.02,-0.03
1.326,0.12,-0.01,-0.03
1.339,0.14,-0.01,-0.01
1.346,0.15,-0.02,-0.05
1.357,0.11,-0.03,-0.02
1.365,0.11,0.01,-0.04
1.401,0.15,0.01,-0.01
1.402,0.12,0.01,0.00
1.403,0.15,-0.03,-0.02
1.404,0.13,-0.01,0.01
1.415,0.13,0.02,-0.01
1.441,0.14,0.03,0.00
1.448,0.13,-0.02,-0.01
1.449,0.13,-0.01,-0.02
1.454,0.15,-0.03,0.01
1.463,0.14,0.01,-0.07
1.474,0.13,-0.02,-0.07
1.484,0.16,-0.01,-0.05
1.493,0.11,0.02,-0.02
1.519,0.11,-0.01,0.02
1.520,0.13,-0.02,0.00
1.523,0.10,0.03,-0.04
1.534,0.13,-0.01,-0.06
1.543,0.14,-0.03,-0.03
1.556,0.18,-0.01,-0.01
1.563,0.14,-0.01,-0.08
1.573,0.16,-0.01,-0.06
1.584,0.09,-0.03,-0.06
1.593,0.13,0.01,-0.04
1.630,0.14,-0.02,-0.02
1.632,0.18,-0.04,-0.04
1.633,0.11,-0.04,0.06
1.634,0.12,0.01,-0.05
1.646,0.13,-0.03,-0.02
1.655,0.18,-0.00,-0.02
1.662,0.10,-0.03,-0.01
1.671,0.14,0.03,-0.06
1.681,0.15,-0.03,0.02
1.692,0.13,-0.04,-0.04
1.702,0.12,-0.01,0.06
1.734,0.10,-0.02,-0.01
1.736,0.14,0.05,0.01
1.738,0.09,-0.03,-0.02
1.741,0.12,-0.00,-0.03
1.751,0.04,-0.04,-0.05
1.760,0.03,-0.02,-0.04
1.770,0.07,0.02,-0.06
1.780,0.09,-0.04,-0.05
1.790,0.11,0.00,0.04
1.801,0.08,-0.04,0.03
1.822,0.04,-0.07,-0.02
1.824,-0.01,-0.00,-0.01
1.830,-0.00,0.00,0.03
1.843,0.03,-0.02,0.05
1.850,0.06,-0.07,-0.02
1.860,0.07,0.01,-0.10
1.873,0.07,-0.07,-0.09
1.879,0.15,0.05,0.01
1.891,0.11,0.00,-0.07
1.899,0.29,0.01,-0.09
1.926,0.38,-0.05,-0.11
1.930,0.31,0.01,-0.06
1.934,0.28,-0.01,-0.02
1.942,0.21,-0.05,-0.08
1.949,0.19,-0.00,-0.04
1.959,0.19,0.13,-0.17
1.969,0.10,0.15,0.01
1.978,0.14,0.08,-0.06
2.001,0.20,-0.04,0.02
2.006,0.10,0.03,-0.07
2.008,0.11,0.00,-0.03
2.019,0.12,-0.05,0.06
2.029,0.18,0.01,-0.03
2.038,0.17,-0.03,-0.03
2.048,0.13,-0.05,-0.03
2.057,0.14,0.01,-0.06
2.067,0.12,-0.04,-0.04
2.077,0.12,-0.02,0.01
2.091,0.16,-0.01,-0.04
2.096,0.12,-0.04,-0.03
2.122,0.10,-0.05,-0.02
2.123,0.19,0.01,-0.02
2.127,0.14,-0.03,-0.07
2.146,0.16,-0.01,-0.03
2.147,0.14,-0.05,-0.05
2.156,0.14,-0.03,0.02
2.166,0.14,-0.05,-0.05
2.175,0.11,-0.02,0.01
2.189,0.14,0.02,-0.05
2.197,0.15,0.00,-0.01
2.207,0.09,-0.04,-0.02
2.215,0.13,-0.02,0.00
2.238,0.13,-0.04,-0.08
2.240,0.14,0.00,-0.09
2.259,0.14,-0.03,-0.04
2.260,0.10,-0.02,-0.09
2.265,0.12,-0.03,-0.03
2.278,0.16,-0.03,0.00
2.284,0.14,-0.03,-0.02
2.294,0.14,-0.01,0.01
2.326,0.11,0.00,-0.09
2.328,0.18,-0.07,-0.04
2.329,0.13,-0.03,-0.02
2.334,0.10,0.01,0.00
2.343,0.14,-0.04,0.04
2.356,0.05,-0.04,-0.03
2.364,-0.05,-0.22,0.06
2.373,-0.02,-0.07,0.05
2.384,0.57,-0.27,0.03
2.393,0.24,-0.16,0.05
2.404,0.08,0.10,-0.04
2.419,0.16,-0.18,-0.12
2.424,0.22,0.26,-0.20
2.449,0.17,0.06,-0.12
2.452,0.13,0.09,0.05
2.453,0.10,-0.09,0.01
2.463,0.10,-0.08,-0.13
2.472,-0.05,-0.06,-0.13
2.482,-0.25,-0.02,-0.15
2.491,-0.36,0.02,-0.21
2.502,-0.57,0.22,-0.00
2.518,-0.50,-0.19,0.26
2.522,-0.83,0.03,0.42
2.531,-0.82,0.03,0.42
2.545,-0.85,-0.20,0.53
2.551,-0.86,-0.10,0.46
2.561,-0.92,0.03,0.29
2.572,-0.88,0.00,0.17
2.581,-1.09,-0.05,0.04
2.591,-1.39,0.01,0.00
2.601,-0.99,0.02,0.13
2.617,-1.04,0.24,0.54
2.620,-0.94,0.07,0.65
2.630,-1.19,-0.15,0.34
2.655,-0.82,0.05,0.28
2.656,-1.43,-0.10,0.25
2.660,-0.97,-0.08,0.37
2.669,-1.48,0.07,-0.01
2.680,-1.03,0.26,0.02
2.692,-1.48,-0.10,0.23
2.702,-1.32,0.07,0.41
2.734,-1.70,-0.13,0.33
2.736,-1.64,-0.04,0.21
2.738,-1.15,0.06,0.50
2.739,-1.38,-0.61,0.65
2.762,-1.57,0.42,0.56
2.764,-1.50,-0.32,0.61
2.769,-1.98,-0.11,0.50
2.779,-1.78,0.32,0.39
2.790,-1.86,-0.23,0.41
2.799,-2.11,0.26,0.52
2.822,-2.46,-0.02,0.57
2.823,-2.40,0.13,0.63
2.829,-2.35,-0.24,0.73
2.853,-2.61,0.06,0.55
2.856,-2.80,-0.17,0.53
2.858,-2.82,0.20,0.64
2.868,-2.53,-0.05,0.78
2.879,-2.27,0.02,0.66
2.887,-2.06,0.16,0.46
2.898,-1.83,0.12,0.41
2.922,-1.66,0.10,0.41
2.923,-1.45,0.06,0.37
2.926,-1.27,-0.01,0.27
2.940,-0.86,-0.10,0.23
2.953,-0.69,0.09,0.16
2.956,-0.61,0.15,0.11
2.965,-0.74,-0.12,0.15
2.978,-0.63,0.15,0.21
2.986,-0.46,0.01,0.23
2.998,-0.45,0.01,0.26
3.023,-0.15,0.22,0.05
3.025,-0.15,-0.17,-0.12
3.026,0.01,-0.01,-0.10
3.038,0.04,-0.02,-0.13
3.046,0.31,-0.12,-0.10
3.056,0.36,-0.07,-0.21
3.066,0.57,-0.08,-0.20
3.075,0.57,-0.17,-0.20
3.084,0.72,0.17,-0.13
3.096,0.70,0.07,-0.16
3.105,0.96,0.00,-0.10
3.125,0.81,0.04,-0.13
3.134,0.69,0.02,-0.21
3.138,0.84,-0.02,-0.23
3.153,0.63,0.04,-0.29
3.156,0.90,0.14,-0.25
3.164,0.92,0.00,-0.11
3.176,0.55,-0.07,-0.16
3.183,0.69,0.09,-0.25
3.195,0.78,-0.05,-0.35
3.204,0.67,0.04,-0.26
3.235,0.80,0.26,-0.16
3.237,0.71,-0.25,-0.14
3.240,0.70,0.15,-0.31
3.246,0.82,-0.14,-0.37
3.253,0.76,0.08,-0.30
3.262,0.86,-0.02,-0.19
3.274,0.94,0.07,-0.17
3.282,0.79,-0.05,-0.17
3.292,0.99,0.07,-0.31
3.302,0.84,-0.02,-0.32
3.340,0.83,0.13,-0.14
3.342,0.79,-0.13,-0.06
3.345,0.89,0.02,-0.16
3.346,0.84,-0.05,-0.27
3.357,0.73,-0.09,-0.35
3.363,0.67,0.04,-0.16
3.372,0.68,-0.03,-0.10
3.381,0.88,-0.02,-0.13
