0.016,-0.08,-0.09,-3.08
0.017,0.25,-0.11,-1.32
0.018,0.80,-0.49,0.01
0.018,1.66,-0.52,3.26
0.024,2.14,-0.66,5.94
0.026,1.81,-1.17,5.98
0.031,1.55,-1.50,5.67
0.104,0.99,-1.39,5.02
0.105,0.29,-1.04,4.04
0.105,-0.38,-0.66,3.08
0.106,-0.94,-0.38,2.53
0.106,-1.34,-0.22,2.23
0.107,-1.46,-0.38,2.03
0.107,-1.46,-0.74,1.75
0.108,-1.41,-1.03,1.35
0.108,-1.32,-1.20,0.89
0.109,-1.20,-1.26,0.38
0.109,-1.12,-1.17,-0.03
0.110,-1.05,-0.98,-0.35
0.111,-0.98,-0.74,-0.51
0.111,-0.86,-0.55,-0.62
0.112,-0.70,-0.43,-0.76
0.113,-0.48,-0.32,-0.92
0.139,-0.22,-0.21,-1.09
0.140,0.03,-0.09,-1.26
0.140,0.21,0.02,-1.38
0.141,0.30,0.12,-1.44
0.142,0.31,0.21,-1.39
0.142,0.28,0.25,-1.24
0.145,0.29,0.26,-0.83
0.148,0.37,0.24,-0.14
0.158,0.53,0.21,0.63
0.159,0.65,0.16,1.30
0.163,0.69,0.04,1.93
0.169,0.68,-0.10,2.45
0.175,0.60,-0.21,2.59
0.198,0.46,-0.30,2.30
0.199,0.23,-0.39,1.73
0.200,-0.08,-0.46,1.06
0.201,-0.37,-0.49,0.41
0.202,-0.65,-0.48,-0.11
0.204,-0.86,-0.47,-0.47
0.206,-0.98,-0.43,-0.70
0.211,-1.04,-0.39,-0.76
0.218,-0.99,-0.31,-0.69
0.221,-0.86,-0.23,-0.51
0.226,-0.63,-0.18,-0.32
0.231,-0.36,-0.10,-0.14
0.236,-0.11,-0.03,-0.05
0.241,0.13,0.04,0.01
0.246,0.31,0.11,0.04
0.260,0.43,0.14,-0.01
0.261,0.50,0.18,-0.16
0.262,0.53,0.18,-0.38
0.265,0.53,0.14,-0.55
0.275,0.57,0.11,-0.61
0.279,0.60,0.06,-0.60
0.282,0.53,-0.01,-0.59
0.288,0.45,-0.14,-0.36
0.292,0.38,-0.26,0.21
0.320,0.32,-0.36,0.73
0.320,0.25,-0.40,1.01
0.321,0.11,-0.46,1.08
0.322,-0.11,-0.47,1.06
0.322,-0.29,-0.44,1.03
0.323,-0.41,-0.40,0.86
0.324,-0.48,-0.37,0.60
0.329,-0.50,-0.34,0.29
0.332,-0.47,-0.33,0.01
0.353,-0.37,-0.26,-0.29
0.354,-0.24,-0.18,-0.56
0.354,-0.07,-0.07,-0.75
0.355,0.07,0.02,-1.00
0.368,0.02,0.04,-1.40
0.368,-0.31,-0.03,-1.99
0.369,-0.24,-0.22,-2.87
0.373,0.73,-1.02,-3.56
0.377,0.76,-0.91,-3.86
0.381,0.85,-1.01,-4.33
0.386,0.73,-0.65,-4.35
0.392,0.48,-0.15,-3.87
0.396,0.20,0.32,-3.10
0.403,0.13,0.50,-2.14
0.406,0.16,0.43,-1.20
0.411,0.18,0.22,-0.22
0.416,0.12,0.11,0.97
0.421,0.14,-0.15,1.64
0.427,0.16,-0.36,1.70
0.431,0.35,-0.45,1.31
0.446,0.16,-0.52,1.19
0.448,0.03,-0.44,1.15
0.449,0.01,-0.31,1.16
0.453,-0.04,-0.27,1.18
0.464,-0.10,-0.30,1.13
0.465,-0.12,-0.34,1.12
0.465,-0.15,-0.37,1.10
0.507,-0.10,-0.41,1.07
0.509,0.08,-0.39,0.87
0.512,0.12,-0.35,0.79
0.514,-0.14,-0.40,0.66
0.525,-0.38,-0.39,0.36
0.527,-0.30,-0.27,-0.03
0.528,-0.14,-0.10,-0.20
0.530,0.04,0.09,-0.14
0.531,0.18,0.25,-0.01
0.533,-0.08,0.14,0.05
0.534,-0.29,0.06,-0.29
0.536,-0.32,0.11,-0.76
0.537,-0.32,0.24,-1.05
0.539,-0.39,0.36,-1.18
0.540,-0.51,0.50,-1.31
0.544,-0.64,0.59,-1.50
0.547,-0.73,0.57,-1.62
0.553,-0.64,0.40,-1.54
0.556,-0.55,-0.07,-1.28
0.561,-0.63,-0.33,-0.86
0.567,-0.69,-0.47,-0.57
0.576,-0.86,-0.54,-0.67
0.577,-1.23,-0.12,-0.95
0.581,-1.57,0.47,-1.32
0.587,-1.89,0.95,-1.47
0.599,-2.34,1.35,-1.31
0.601,-2.86,1.59,-0.86
0.602,-3.51,1.71,-0.24
0.645,-4.11,1.77,0.57
0.648,-3.94,1.65,1.61
0.651,-3.76,1.40,2.80
0.652,-4.32,1.12,3.92
0.654,-4.47,0.80,4.63
0.654,-3.92,0.52,4.51
0.655,-4.22,0.46,4.07
